,frequency,amplitude
278,3.9818223430858812,-6.450385469577528
279,4.310103809682191,-6.715292211377008
280,4.659224287862241,-6.995264182860174
281,5.031306991815152,-7.291843652887299
282,5.42877462532777,-7.60679030812493
283,5.85440422265276,-7.942121064901691
284,6.311394488662718,-8.300158964264098
285,6.80344911784796,-8.683593662462442
286,7.334880680674127,-9.095556857200403
287,7.910741258959128,-9.539717134341583
288,8.536988232826166,-10.020400335221861
289,9.220696762878791,-10.542743828012632
290,9.970335074497886,-11.11289637469235
291,10.79612532196981,-11.738280133571262
292,11.710522763926537,-12.427938559893287
293,12.72886112500275,-13.193004966837043
294,13.870235511637501,-14.047343558070025
295,15.158731562542034,-15.008441842894559
296,16.62517032013342,-16.09867748856458
297,18.30964025524613,-17.347156675594178
298,20.265264409664617,-18.7924492049941
299,22.563967768154654,-20.486775859033113
300,25.305604231252754,-22.502634968642507
301,28.632971879245996,-24.943704143033404
302,32.75768250613229,-27.963622659242727
303,38.00729347453973,-31.800211206536066
304,44.91732629373,-36.84228132676533
305,54.42745512684108,-43.77207668378869
306,68.35144004695658,-53.906464769465735
307,90.70145742524235,-70.15845759644088
308,132.46704885043198,-100.50693367321534
309,238.44899093795806,-177.47917893729388
310,1050.5843750100998,-767.1490670742837
311,-457.9472618725215,328.08494033323564
312,-191.5996586355997,134.68051691881337
313,-122.53645282493534,84.51309029811834
314,-90.79247583644629,61.441084503038724
315,-72.54613292827887,48.169000224002836
316,-60.69303386108918,39.53874603225403
317,-52.370272938038305,33.471730350919906
318,-46.2021807055073,28.96915901168036
319,-41.4455799591913,25.49145443761013
320,-37.66375503134236,22.721543358373385
321,-34.583243803689136,20.460881674512976
322,-32.02407035596885,18.578800365926785
323,-29.862938823190692,16.985782659301556
324,-28.012546839726365,15.618444706486917
325,-26.409342525989526,14.430646632012156
326,-25.00596034761061,13.388000650613339
327,-23.766374634894984,12.464352319466995
328,-22.66269597591283,11.639454585338878
329,-21.672995493982246,10.897388125419992
330,-20.779791774027565,10.225462795361064
331,-19.968976348409328,9.613437492298253
332,-19.22903627035002,9.052955718303645
333,-18.550482162846635,8.537130325672134
334,-17.92542104932912,8.060233382565848
335,-17.347232937012297,7.617461365822818
336,-16.810322889526105,7.204755165444734
337,-16.309928797655573,6.818660526825876
338,-15.841970772948093,6.456218714475858
339,-15.402932008381947,6.1148800228876805
340,-14.989763689791106,5.7924347493469615
341,-14.599808473666458,5.486957648591913
342,-14.230738427179153,5.196762887693476
343,-13.880504336534383,4.920367256057469
344,-13.547294018846753,4.656459913442458
345,-13.22949781907122,4.403877355164683
346,-12.92567988244225,4.161582572744109
347,-12.634554098578526,3.928647606773017
348,-12.354963848533068,3.7042388623563767
349,-12.085864861996978,3.4876046850113114
350,-11.8263106390214,3.2780647989519456
351,-11.5754399873514,3.0750012827037807
352,-11.332466319653067,2.8778508277467556
353,-11.096668422244825,2.6860980626561792
354,-10.867382451059285,2.4992697748751964
355,-10.643994963606296,2.3169298842698884
356,-10.425936822895922,2.138675053320393
357,-10.212677838474104,1.964130836576263
358,-10.003722033695393,1.7929482863378903
359,-9.798603443375477,1.6248009478168808
360,-9.596882362222201,1.4593821850515536
361,-9.398141977015499,1.2964027903089277
362,-9.201985324127461,1.1355888332351465
363,-9.00803252302979,0.97667971697962
364,-8.815918242114561,0.8194264079614326
365,-8.625289361140108,0.6635898143446473
366,-8.435802794006234,0.5089392870870086
367,-8.247123444276928,0.35525122897820705
368,-8.058922268606915,0.2023077846252166
369,-7.8708744204283185,0.049895602842097375
370,-7.682657452778567,-0.10219534929240748
371,-7.4939495610118065,-0.25417293248168926
372,-7.304427841450773,-0.40624395402073654
373,-7.113766550543303,-0.5586152745617619
374,-6.921635340938884,-0.7114949134867623
375,-6.727697456722556,-0.8650931658708547
376,-6.531607866965264,-1.0196237441287161
377,-6.3330113137491155,-1.175304957101496
378,-6.1315402558183685,-1.3323609401765415
379,-5.926812677632553,-1.4910229526040726
380,-5.71842973796498,-1.6515307572868863
381,-5.505973228967848,-1.8141341005443303
382,-5.289002807006822,-1.9790943131545213
383,-5.067052958429917,-2.146686054546822
384,-4.839629654639339,-2.317199224480907
385,-4.606206642252614,-2.490941076335105
386,-4.36622130930837,-2.668238559323741
387,-4.11907005746693,-2.849440935027088
388,-3.864103094671502,-3.0349227128157508
389,-3.600618553345023,-3.225086956594666
390,-3.327855816345764,-3.4203690326267786
391,-3.0449879139555316,-3.6212408698499527
392,-2.7511128255304653,-3.8282158279341165
393,-2.4452434913076666,-4.041854283135423
394,-2.126296291864382,-4.262770062847935
395,-1.7930777061042378,-4.491637893352145
396,-1.44426879799457,-4.729202055578077
397,-1.0784070921542268,-4.97628648958384
398,-0.6938653135267003,-5.233806646275978
399,-0.28882632012622045,-5.502783454923579
400,0.1387465890377042,-5.7843598631304864
401,0.5911450285055015,-6.079820528970984
402,1.0709578578319308,-6.390615389291533
403,1.58112213881359,-6.718388037504084
404,2.124984873869015,-7.065010088834347
405,2.7063782732994146,-7.432623082460278
406,3.329712144734886,-7.823689905747246
407,4.000088152229788,-8.241058392453008
408,4.7234422214124745,-8.68804057883774
409,5.5067235410468,-9.168512328918625
410,6.358121628134002,-9.68703970227181
411,7.287357225784012,-10.249040848763709
412,8.306059005696126,-10.860995645393551
413,9.428257131792208,-11.530720369744074
414,10.671038297127387,-12.267732228875975
415,12.055427426071109,-13.083740023118017
416,13.607593153419469,-13.993314989857051
417,15.36052484643638,-15.014824050308583
418,17.35641137748278,-16.171753574365102
419,19.650089926869917,-17.4946285987077
420,22.3141718880959,-19.023865331619543
421,25.446881271243786,-20.81413312379337
422,29.184442213437034,-22.941247950467325
423,33.721425587951735,-25.513495024789215
424,39.345736330860355,-28.69109876085331
425,46.502207143900534,-32.72161178097116
426,55.916391073628056,-38.00880375442279
427,68.85748961493299,-45.25897718899031
428,87.76491333141948,-55.82963959549896
429,118.00095362870833,-72.70484064164266
430,174.10063786952418,-103.97312845206717
431,314.04031596860557,-181.89753510730068
432,1281.1783384195833,-720.1465170183075
433,-675.1574900094655,368.47613289790604
434,-276.79875996105983,146.7440697705166
435,-177.77987511997335,91.59002431681577
436,-132.8508586346644,66.53582926778431
437,-107.20264524928392,52.210718633857375
438,-90.6190884596812,42.929538857105165
439,-79.0183559121897,36.42079547499813
440,-70.44966568292061,31.59889326804697
441,-63.86312101091447,27.879566607916615
442,-58.64349308604683,24.920436135313285
443,-54.40637464874403,22.507571097699124
444,-50.899214067012764,20.50041618914338
445,-47.94924662105821,18.80281602941681
446,-45.4342936370082,17.34676527562702
447,-43.26551152925187,16.082808688153953
448,-41.37674971684842,14.97411894291347
449,-39.717740849061386,13.992707068959064
450,-38.24960445025291,13.116920268128897
451,-36.941796213246384,12.32974421953379
452,-35.769988262138995,11.617623451752115
453,-34.71456497544079,10.969624265567138
454,-33.75953545252464,10.376829514584829
455,-32.89173393301182,9.8318936210018
456,-32.10022296374349,9.328710417738098
457,-31.375841786917327,8.862161810003608
458,-30.710860325340164,8.427925185929332
459,-30.09871103763409,8.022324168731064
460,-29.5337789491512,7.642211738568965
461,-29.01123563997139,7.284877811699518
462,-28.526906823382465,6.94797551453333
463,-28.077165846914777,6.6294618775107255
464,-27.658847379468554,6.327549761396004
465,-27.26917696578642,6.040668612077997
466,-26.905713146053614,5.767432203203755
467,-26.566299602339228,5.506611957184005
468,-26.249025367095566,5.25711475040062
469,-25.952191554893155,5.017964342593635
470,-25.67428340225905,4.788285759926684
471,-25.413946659929316,4.567292095546115
472,-25.169967568139434,4.354273297784703
473,-24.94125579697956,4.148586608650772
474,-24.726829858786992,3.9496483702062717
475,-24.525804584324614,3.7569269741975653
476,-24.33738033414985,3.5699367762041274
477,-24.16083367540204,3.388232814774631
478,-23.995509298143933,3.2114062173619313
479,-23.84081298878605,3.0390801877616713
